galaxyID,x,y,z,mag_r
6985,6.281155,13.322134,25.006897,-18.78174
7028,6.4853973,13.378172,24.886988,-19.48357
7079,6.0033836,13.153855,25.307226,-19.50546
7123,6.6564484,13.517336,24.491621,-19.239721
7179,6.487301,13.333289,24.985472,-19.063055
7223,6.331531,13.440945,24.288288,-18.65654
7260,6.4308305,13.214882,24.699095,-19.413387
7316,6.712945,12.75278,26.326426,-17.241241
7352,6.7058997,13.148487,25.324734,-18.704422
7402,6.013805,12.9845495,24.686396,-18.423094
7439,6.4501204,12.832635,25.54982,-18.183992
7490,6.8919806,13.286897,25.823807,-16.73844
7524,6.7439303,13.567945,24.810356,-17.03855
7554,6.641757,12.830606,25.681522,-18.087711
7591,6.1012344,13.389197,24.624048,-19.794838
7666,6.6922693,12.622392,26.33323,-19.183205
7711,5.4276857,13.358128,25.299475,-16.020403
7731,5.9312563,13.1671505,25.465654,-16.961891
7740,6.125081,13.221483,25.274866,-16.703178
7764,6.648906,12.581295,26.292688,-18.663105
7806,6.988715,13.438362,24.248968,-18.573107
7848,7.2794914,12.296303,26.813946,-18.621069
7887,7.3355374,12.4324875,26.164314,-17.395773
7921,7.742906,13.216923,26.102407,-17.556015
7950,7.5686398,12.4697485,25.339645,-20.120325
8012,7.4400873,13.423687,25.53863,-18.636202
8050,7.211715,12.743692,26.260231,-18.329351
8091,7.122962,13.239407,26.497871,-18.514778
8148,6.531279,12.753905,24.382233,-19.199102
8192,6.722421,13.733762,25.182909,-18.231705
8232,5.9058404,12.694411,25.69929,-16.967232
8247,6.379672,13.969643,24.694132,-15.99954
8275,6.6276503,12.774963,24.64551,-15.069572
8286,7.2240114,13.364858,26.07661,-17.286226
8319,7.049538,13.067788,26.209362,-18.814198
8359,7.011381,12.815126,26.468433,-18.411572
8397,7.5069723,13.588581,25.65785,-17.031183
1000000,31.207897,24.540237,3.2677135,-22.831905
1000763,31.293419,24.540358,3.3608916,-17.592077
1000816,31.382488,24.55292,3.064894,-15.107544
1000852,31.0912,24.529297,3.200819,-17.651972
1000894,31.322084,24.504507,3.2956326,-12.200827
1000925,31.101679,24.488663,3.1994257,-14.923394
1000956,31.209358,24.764658,3.1939096,-16.78166
1000995,31.179646,24.418306,3.3237076,-17.501492
1001039,31.243824,24.700953,3.251944,-17.618631
1001079,31.088425,24.477736,3.263604,-15.814277
1001116,31.360695,24.72398,3.2360237,-17.163122
1001161,30.857956,24.815107,3.149094,-15.272446
1001191,31.20562,24.511232,3.279199,-15.9760685
1001223,31.058311,24.57797,3.3811767,-15.091158
1001251,31.381079,24.673243,2.9477918,-14.918029
1001282,31.25769,24.634504,2.9184432,-16.027037
1001319,31.19133,24.26929,3.4167056,-15.565478
1001348,31.278996,24.642668,2.9847152,-15.9996605
1001379,31.451231,24.192142,3.408294,-19.183159
1001429,31.226692,24.564995,3.2547715,-20.785372
1001556,31.214457,24.513796,3.136051,-16.591764
1001600,31.363792,24.548552,3.4553936,-16.987696
